force,displacement,judge,name
0,0.005,0,Mountain Linear 45g
0,0,0,Mountain Linear 45g
0,-0.01,0,Mountain Linear 45g
0,-0.02,0,Mountain Linear 45g
0,-0.025,0,Mountain Linear 45g
0,-0.03,0,Mountain Linear 45g
0,-0.035,0,Mountain Linear 45g
0,-0.035,0,Mountain Linear 45g
0,-0.04,0,Mountain Linear 45g
0,-0.04,0,Mountain Linear 45g
0.1,-0.04,0,Mountain Linear 45g
-0.1,-0.035,0,Mountain Linear 45g
0,-0.035,0,Mountain Linear 45g
0.1,-0.035,0,Mountain Linear 45g
0,-0.035,0,Mountain Linear 45g
0,-0.035,0,Mountain Linear 45g
0,-0.03,0,Mountain Linear 45g
0,-0.03,0,Mountain Linear 45g
0,-0.03,0,Mountain Linear 45g
0,-0.03,0,Mountain Linear 45g
0,-0.03,0,Mountain Linear 45g
0,-0.03,0,Mountain Linear 45g
0,-0.03,0,Mountain Linear 45g
0,-0.03,0,Mountain Linear 45g
0,-0.03,0,Mountain Linear 45g
-0.1,-0.03,0,Mountain Linear 45g
0,-0.03,0,Mountain Linear 45g
